B_0_vac,B_m,N_rho,Rev_per_vol_opt,n_20_opt,E_b100_opt,P_nbi_opt,NWL_at_opt_Rev_per_vol,a_0_opt,a_0_limit_opt,L_mirror_opt,V_plasma_opt,a_w_opt,B_w_opt,q_w_opt
3.75,28,10,3868314147.117945,2.8600012525050094,0.3623246492985972,11.955852452574923,0.744561891720267,0.10000425319691889,DCLC,3.0,0.0603393989544022,0.6273444701440468,0.07800553845295768,4.463409649529702
4.0,28,10,4405647558.055889,3.0327321309285233,0.4004008016032064,13.34219500331722,0.929704480045733,0.10011636459448482,DCLC,3.0,0.06075405813123429,0.6276960190145083,0.08200190995311354,4.990820060947983
4.25,28,10,4969272767.507672,3.053283650634602,0.450501002004008,13.256981662571038,1.0460350215445664,0.10015058879437169,DCLC,3.0,0.06114396109654026,0.62780329697309,0.08698099660838791,4.976342868167315
4.5,28,10,5220680268.359267,3.071768537074148,0.5026052104208416,13.150342918095209,1.146562119180248,0.1,eng,3.0,0.06130876610183493,0.6274026730437944,0.09187344299317093,4.959526525475855
4.75,28,10,5193805366.082929,3.104469355377421,0.5547094188376753,13.269648524862324,1.2452258937387257,0.1,eng,3.0,0.061651644075635476,0.6286840470750591,0.09651821218739223,4.998184041337189
5.0,28,10,5168323065.882507,3.1135604542418163,0.6148296593186373,13.137345043692113,1.319551378916742,0.1,eng,3.0,0.06197998554409421,0.6280040912711723,0.10161408330485636,4.9729632821038585
5.25,28,10,5142674516.476068,3.122087925851703,0.6769539078156313,13.042230001701219,1.3788347789179747,0.1,eng,3.0,0.062310459144527874,0.6279317049228198,0.10662426454294212,4.949329572737901
5.5,28,10,5117095158.582356,3.139445557782231,0.7390781563126252,13.077817421246706,1.4335716966073897,0.1,eng,3.0,0.0626411751851816,0.6286938859656954,0.11140936070528505,4.959338743041392
5.75,28,10,5091904229.989465,3.1506763527054105,0.8052104208416833,13.071974184712484,1.4730678295533792,0.1,eng,3.0,0.06296739559502018,0.6291239504812073,0.1162870068365323,4.957234013143907
6.0,28,10,5067505337.972377,3.160320641282565,0.8753507014028055,13.065102779135307,1.5013807719605072,0.1,eng,3.0,0.06328424327522261,0.6290808422675146,0.1212460337827242,4.960500887959186
6.25,28,10,5042750142.367669,3.1735450066800266,0.9454909819639279,13.137545694293772,1.5248952479301658,0.1,eng,3.0,0.06360650695088861,0.6298779632876319,0.12601005300008125,4.978461829053548
6.5,28,10,5018863437.235649,3.1628674014696054,1.0276553106212425,12.967620586850591,1.5182818903636086,0.1,eng,3.0,0.06391538661761403,0.6287990185959247,0.13137122034346882,4.933675816077711
6.75,28,10,4994552485.642699,3.162449899799599,1.107815631262525,12.951103513362305,1.5149615248125756,0.1,eng,3.0,0.06423166839723611,0.6289599918782551,0.13639870377162674,4.925361302430091
7.0,28,10,4954290812.373327,3.2179358717434865,1.1178356713426854,13.93519393609864,1.5727372540903701,0.1,eng,3.0,0.06476569993260814,0.6472839308738475,0.13701416896651952,4.996534829009267
2.5,22,12,,,,,,,,,,,,
2.75,22,12,,,,,,,,,,,,
3.0,22,12,,,,,,,,,,,,
3.25,22,12,2083172414.4040112,2.3972215263861054,0.29819639278557114,14.963581225645164,0.5021356006154523,0.12146310467187324,DCLC,3.0,0.09015465111104892,0.7573727068629775,0.07076649591789644,3.8001287898768985
3.5,22,12,2475273596.81795,2.5791583166332663,0.2901803607214429,14.848243007999779,0.5001410744368497,0.10816830162721455,DCLC,3.0,0.07226331583143356,0.7147225211698292,0.06980885372854133,4.22721126802289
3.75,22,12,2858223370.0776143,2.704189629258517,0.294188376753507,14.69901418421524,0.5201880373528756,0.10001296238840648,DCLC,3.0,0.062360014654943535,0.6872513590391774,0.0702893057420207,4.52439833966436
4.0,22,12,3201657052.4883175,2.7374749498997994,0.3342685370741483,14.870532440927011,0.6318283973771791,0.1001562515972105,DCLC,3.0,0.06299009712091934,0.6877434975314672,0.07492456826515013,4.584625607121633
4.25,22,12,3589497589.7021375,2.7655623747494986,0.37635270541082166,14.994880270484108,0.7384510738159414,0.10017238804660603,DCLC,3.0,0.06345728495074257,0.6877988974241712,0.07950126149404307,4.635685132748292
4.5,22,12,3998475645.4198356,2.7736723446893783,0.42444889779559114,14.99931804481025,0.8391543741844745,0.10065137281890935,DCLC,3.0,0.06450608302850919,0.6894413276599042,0.08442852534998385,4.628886319665485
4.75,22,12,4407646149.314454,2.784590013360053,0.4725450901803607,14.989501245265295,0.9238244891653994,0.10067632362967566,DCLC,3.0,0.0649806906674947,0.68952677634122,0.08908367530811426,4.636295026336475
5.0,22,12,4803830186.50343,2.792752171008684,0.5226452905811623,14.96146410446354,0.9969688643575885,0.1006079870764594,DCLC,3.0,0.06533162799484556,0.6892927199106275,0.09368714821912005,4.64096983825449
5.25,22,12,4924836528.854033,2.8069263527054105,0.5687374749498998,14.96621454651807,1.0527926965803007,0.1,eng,3.0,0.06498926860345594,0.6879320196776302,0.09773101776641246,4.667845991599901
5.5,22,12,4894784737.421323,2.8138777555110215,0.6248496993987975,14.975403058623755,1.1076679941118337,0.1,eng,3.0,0.06540806154188736,0.6875042736620798,0.10243875259340217,4.684197787035126
5.75,22,12,,,,,,,,,,,,
6.0,22,12,,,,,,,,,,,,
6.25,22,12,,,,,,,,,,,,
6.5,22,12,,,,,,,,,,,,
6.75,22,12,,,,,,,,,,,,
7.0,22,12,,,,,,,,,,,,
2.5,25,12,,,,,,,,,,,,
2.75,25,12,,,,,,,,,,,,
3.0,25,12,1564744167.337651,2.0636272545090177,0.3402805611222445,14.965503286352662,0.5003430498652165,0.15037939767170394,DCLC,3.609105544120895,0.1500441761277746,0.8427167617359965,0.07559534770025682,3.0933493471646547
3.25,25,12,2158379962.050297,2.547167251169004,0.2801603206412826,14.90158478729653,0.5004106648412621,0.11766664314946279,DCLC,3.0,0.08356979335574033,0.7454424897316646,0.06859300220785579,3.903969709959097
3.5,25,12,2571932946.5733733,2.7601035404141614,0.27214428857715434,14.961871695213526,0.5028479838271784,0.1048423747494793,DCLC,3.0,0.06699274586463347,0.7036486947702518,0.06760457873755396,4.391953991804333
3.75,25,12,2947244602.8290663,2.7723572144288573,0.29218436873747494,13.953109560510455,0.5387829398967204,0.10002423892880029,DCLC,3.0,0.061490851474984065,0.6872901020135311,0.07004949164907673,4.299462825780909
4.0,25,12,3322193511.798876,2.8851035404141614,0.33026052104208414,14.959327889830117,0.6894499924842095,0.10039065901641189,DCLC,3.0,0.06232192011834605,0.6885478305613004,0.07447402558554732,4.607491947861907
4.25,25,12,3752247515.1277256,2.830953573814295,0.40240480961923847,14.997756289423835,0.8668131991375037,0.1057210743628467,DCLC,3.0,0.0694730523074503,0.706591234610225,0.08220686380929355,4.4136083782078055
4.5,25,12,4210470794.4624357,2.9078156312625243,0.4264529058116232,14.999373446770857,0.933089057756557,0.1020451805647529,DCLC,3.0,0.06520029191765903,0.6941985639418856,0.08462760255480514,4.578099389654237
4.75,25,12,4673685217.197963,2.952947561790247,0.46052104208416833,14.95641438517196,1.0072546440976322,0.10009507429810025,DCLC,3.0,0.0631596965992243,0.687533422194726,0.08794299220514594,4.662009131297367
5.0,25,12,5044874092.172575,2.962591850367401,0.5086172344689379,14.881662172782805,1.0882193225041032,0.1,eng,3.0,0.0634343658999943,0.6874377170463504,0.09242129187380478,4.6515017827632255
5.25,25,12,5015952676.551664,2.9750125250501,0.5587174348697395,14.893664323743485,1.1631099985035223,0.1,eng,3.0,0.06382274174526983,0.6880194590775385,0.09686627755133806,4.657505985433914
5.5,25,12,4988073624.554436,2.9766616566466264,0.6148296593186373,14.76896964492185,1.2222085753550267,0.1,eng,3.0,0.0642011085216034,0.6873114047302304,0.10161408330485636,4.637545718654961
